player,accuracy,volume,xp
cryptobro,53.0,234.00,690
andrew,52.8,294.91,901
slow,75.0,80.00,550
kai,80.1,73.12,513
Raven,83.8,61.70,472
slayinking,84.0,60.72,467
masterjp,97.9,47.00,455
joe,78.3,60.22,410
tiku13,66.6,80.90,404
scup,67.6,74.00,390
mmmmmm,54.6,121.85,386
bg100,84.4,45.00,350
riskyboy,77.4,52.77,348
BoomLander,56.7,97.00,340
yadav,87.5,40.11,325
ritikdubey23,76.8,47.37,307
leo,47.0,149.00,305
DAN,82.7,40.50,300
sage,100.0,30.00,300
offerguruji,62.5,66.40,289
holy,47.3,136.94,287
adedayo,43.8,162.00,285
jj1980,62.1,66.00,285
hacker,86.8,35.28,282
jack2004,100.0,28.34,281
